titles,authors,result,percent,images
"Sra. Franck Rolleston, 1785-92",Gilbert Stuart,woman,0.8623479604721069,https://assets.masp.org.br/uploads/collection/50zDMgEachVlAUueyfmFy2x9Qe2Atsqy.jpg
"Vista de Salvador, 1951",Rafael Borjes de Oliveira,many people,0.47069117426872253,https://assets.masp.org.br/uploads/collection/jsAs5mcp412QkpbyBQ95wq1FDk2lUSwU.jpg
"Cabeça de mulher, 1973",Emiliano Di Cavalcanti,woman,0.7835414409637451,https://assets.masp.org.br/uploads/collection/jTGy0d1sFvULi3mXdN1bOtOgY0YnEhhG.jpg
"Paisagem com um casal de camponeses, Sem data",Eugène Laermans,many people,0.3086621165275574,https://assets.masp.org.br/uploads/collection/PSIq5CGsE1HZimBh8JBK9dLZ3s2PWnFI.jpg
"Vaca, Sem data",Émile Claus,no_people,0.38539713621139526,https://assets.masp.org.br/uploads/collection/HRUb9ceWMArq2DmjFTBXhRhmcySOVhdR.jpg
"O poeta Alberto de Oliveira, Sem data",Belmiro de Almeida,man,0.5062295198440552,https://assets.masp.org.br/uploads/collection/ZxoD89XZNohuBL8hmI8RMUA6P75HJK5l.jpg
"Dois meninos jogando bilboquê, Sem data",Belmiro de Almeida,no_people,0.36719077825546265,https://assets.masp.org.br/uploads/collection/hQyDLsZRrKJfUMvOfoaWa4ca4S9T3atm.jpg
"Virgem em majestade com o Menino e dois anjos, circa 1275",Maestro del Bigallo,woman,0.5065170526504517,https://assets.masp.org.br/uploads/collection/Ufhi5TsGQsTHMNZljnVLVZV5F1uaXIvB.jpg
"A crucificação e a Virgem com o Menino Jesus entre anjos, santos e os símbolos dos evangelistas, 1290-1305",Desconhecido (Pintor úmbrio),woman,0.3159002363681793,https://assets.masp.org.br/uploads/collection/bocduFKNW7kv5g1iSeBM7j3T1HGdSd3u.jpg
"São Jerônimo penitente no deserto, 1448-51",Andrea Mantegna,man,0.5409013628959656,https://assets.masp.org.br/uploads/collection/3ixxtK1lV3bIUbqk9D5kSJDCfW4PdM3o.jpg
"Madona com o Menino entre santa Madalena e santo Estevão protomártir, 1400-10",Ottaviano Nelli,woman,0.5847641825675964,https://assets.masp.org.br/uploads/collection/fTJEiqJrIuMRjV3y0SrIxpk1pfdnKHSy.jpg
"A Virgem com o Menino de pé abraçando a Mãe (Madona Willys), 1480-90",Giovanni Bellini,woman,0.7008821964263916,https://assets.masp.org.br/uploads/collection/k7Zg3L4zMlSovkxFPo9z6VOrY8EM6Kta.jpg
"Virgem com o Menino e são João Batista criança, 1490-1500",Sandro Botticelli,woman,0.6549419164657593,https://assets.masp.org.br/uploads/collection/WI6czfHfpurz5iuxa9epqX73Q47oewkB.jpg
"A Virgem em lamentação, são João e as pias mulheres da Galileia, 1485-90",Hans Memling,many people,0.4012315273284912,https://assets.masp.org.br/uploads/collection/ZT8CKBosWas28iVkRJHaZIvRoRRYoqDL.jpg
"As tentações de santo Antão, circa 1500",Hieronymus Bosch,many people,0.2902080714702606,https://assets.masp.org.br/uploads/collection/ZjJqv7BJ0gclSadiTf8UxsgQH0T6CYo0.jpg
"Ressurreição de Cristo, 1499-1502",Rafael,many people,0.4047344923019409,https://assets.masp.org.br/uploads/collection/XjnQKRy871U1elNoyLCl9gKqO5X2Hj4a.jpg
"São Sebastião na coluna, 1500-10",Pietro Perugino,woman,0.4493696987628937,https://assets.masp.org.br/uploads/collection/M5dHuddCQEKLOOoU6McVDs7eSDb6nusI.jpg
"Virgem com o Menino, são João Batista criança e um anjo, 1460-70",Lippi-Pesellino (Imitador de),woman,0.6424515843391418,https://assets.masp.org.br/uploads/collection/mAMOO1BsGUhl3K6XG1S4D9WCWqsMURzV.jpg
"A Virgem amamentando o Menino e são João Batista criança em adoração, 1500-20",Giampietrino,woman,0.5792516469955444,https://assets.masp.org.br/uploads/collection/q73QVx53R3mjbAfjXARVWkOiFNdEuDy2.jpg
"O casamento desigual, 1525-30",Quentin Metsys (Seguidor de),man,0.2837454378604889,https://assets.masp.org.br/uploads/collection/LK2ZEkQZyyMZ6Ve2UMfXBjTtMo14a2rx.jpg
"Retrato de jovem aristocrata – Um jovem noivo da família Rava, 1539","Lucas Cranach, o Antigo",woman,0.7008788585662842,https://assets.masp.org.br/uploads/collection/OZRk1vHW5y7nlFOLyz3kIeFizKdeHBW0.jpg
"O poeta Henry Howard, conde de Surrey, circa 1542",Hans Holbein. o Jovem,man,0.41476938128471375,https://assets.masp.org.br/uploads/collection/KNK8pFmml2UHUOrudX1MhPAsmJsMT41l.jpg
"Cristo perante Pilatos, Sem data",Seguidor de Hieronymus Bosch,many people,0.4368458688259125,https://assets.masp.org.br/uploads/collection/EafPh6bEdkFPCdaGPZsr89hwnSr0fOkn.jpg
"Retrato de Alvise Contarini [?], 1525-50",Paris Bordon,man,0.574518620967865,https://assets.masp.org.br/uploads/collection/LiFPVWM58U9pcLsNuV5bsLLj8vCAwJvJ.jpg
"O juízo final e a missa de são Gregório, 1500-20",Mestre da Família Artés,many people,0.4236917793750763,https://assets.masp.org.br/uploads/collection/SK0bXuEyezmyiR5v6g8XTKvUr2Lsu6Mb.jpg
"Retrato de um fidalgo florentino (Piero de Medici [?]), Sem data",Alessandro Allori (Ateliê),man,0.4481264054775238,https://assets.masp.org.br/uploads/collection/cReUKAWlv8Th1nVjGQAvAKKtJRkFVpjq.jpg
"Retrato do cardeal Cristoforo Madruzzo, 1552",Ticiano,woman,0.7632611989974976,https://assets.masp.org.br/uploads/collection/e5FgOw56rBjljKejvFVSQC02zE9MBy07.jpg
"O banho de Diana, 1559-60",François Clouet,many people,0.36290866136550903,https://assets.masp.org.br/uploads/collection/y6cRDkVXo6LY8Pm8ZpIuzMeu6vjCAkpe.jpg
"Lamentação sobre o Cristo morto (ou Pietà), 1560-65",Jacopo Tintoretto,woman,0.3902255892753601,https://assets.masp.org.br/uploads/collection/DT6lwQRVBTa8Qi9GgnVfewIRrEum9tuS.jpg
