titles,authors,images,urls,name,search
"Sra. Franck Rolleston, 1785-92",Gilbert Stuart,https://assets.masp.org.br/uploads/collection/50zDMgEachVlAUueyfmFy2x9Qe2Atsqy.jpg,https://masp.org.br/acervo/obra/mrs-franck-rolleston,mrs-franck-rolleston,mrs-franck-rolleston site:https://masp.org.br/acervo/
"Vista de Salvador, 1951",Rafael Borjes de Oliveira,https://assets.masp.org.br/uploads/collection/jsAs5mcp412QkpbyBQ95wq1FDk2lUSwU.jpg,https://masp.org.br/acervo/obra/vista-de-salvador,vista-de-salvador,vista-de-salvador site:https://masp.org.br/acervo/
"Cabeça de mulher, 1973",Emiliano Di Cavalcanti,https://assets.masp.org.br/uploads/collection/jTGy0d1sFvULi3mXdN1bOtOgY0YnEhhG.jpg,https://masp.org.br/acervo/obra/cabeca-de-mulher,cabeca-de-mulher,cabeca-de-mulher site:https://masp.org.br/acervo/
,,,https://masp.org.br/acervo/obra/paisagem-com-casal-de-camponeses,paisagem-com-casal-de-camponeses,paisagem-com-casal-de-camponeses site:https://masp.org.br/acervo/
"Vaca, Sem data",Émile Claus,https://assets.masp.org.br/uploads/collection/HRUb9ceWMArq2DmjFTBXhRhmcySOVhdR.jpg,https://masp.org.br/acervo/obra/vaca,vaca,vaca site:https://masp.org.br/acervo/
"O poeta Alberto de Oliveira, Sem data",Belmiro de Almeida,https://assets.masp.org.br/uploads/collection/ZxoD89XZNohuBL8hmI8RMUA6P75HJK5l.jpg,https://masp.org.br/acervo/obra/o-poeta-alberto-de-oliveira,o-poeta-alberto-de-oliveira,o-poeta-alberto-de-oliveira site:https://masp.org.br/acervo/
"Dois meninos jogando bilboquê, Sem data",Belmiro de Almeida,https://assets.masp.org.br/uploads/collection/hQyDLsZRrKJfUMvOfoaWa4ca4S9T3atm.jpg,https://masp.org.br/acervo/obra/dois-meninos-jogando-bilboque,dois-meninos-jogando-bilboque,dois-meninos-jogando-bilboque site:https://masp.org.br/acervo/
"Virgem em majestade com o Menino e dois anjos, circa 1275",Maestro del Bigallo,https://assets.masp.org.br/uploads/collection/Ufhi5TsGQsTHMNZljnVLVZV5F1uaXIvB.jpg,https://masp.org.br/acervo/obra/virgem-em-majestade-com-o-menino-e-dois-anjos,virgem-em-majestade-com-o-menino-e-dois-anjos,virgem-em-majestade-com-o-menino-e-dois-anjos site:https://masp.org.br/acervo/
"A crucificação e a Virgem com o Menino Jesus entre anjos, santos e os símbolos dos evangelistas, 1290-1305",Desconhecido (Pintor úmbrio),https://assets.masp.org.br/uploads/collection/bocduFKNW7kv5g1iSeBM7j3T1HGdSd3u.jpg,https://masp.org.br/acervo/obra/a-crucificacao-e-a-virgem-com-o-menino-jesus-entre-anjos-santos-e-os-simbolos-dos-evangelistas,a-crucificacao-e-a-virgem-com-o-menino-jesus-entre-anjos-santos-e-os-simbolos-dos-evangelistas,a-crucificacao-e-a-virgem-com-o-menino-jesus-entre-anjos-santos-e-os-simbolos-dos-evangelistas site:https://masp.org.br/acervo/
"São Jerônimo penitente no deserto, 1448-51",Andrea Mantegna,https://assets.masp.org.br/uploads/collection/3ixxtK1lV3bIUbqk9D5kSJDCfW4PdM3o.jpg,https://masp.org.br/acervo/obra/sao-jeronimo-penitente-no-deserto,sao-jeronimo-penitente-no-deserto,sao-jeronimo-penitente-no-deserto site:https://masp.org.br/acervo/
"Madona com o Menino entre santa Madalena e santo Estevão protomártir, 1400-10",Ottaviano Nelli,https://assets.masp.org.br/uploads/collection/fTJEiqJrIuMRjV3y0SrIxpk1pfdnKHSy.jpg,https://masp.org.br/acervo/obra/madona-com-o-menino-entre-santa-madalena-e-santo-estevao-protomartir,madona-com-o-menino-entre-santa-madalena-e-santo-estevao-protomartir,madona-com-o-menino-entre-santa-madalena-e-santo-estevao-protomartir site:https://masp.org.br/acervo/
